SID,COHORT_YEAR,COHORT_TERM,STUDENT_TYPE,GRADUATION_YEAR,GRADUATION_TERM,COLLEGE_CODE,COLLEGE,DEPARTMENT_CODE,DEPARTMENT
3I60IPKLV,2013,Fall,TRN,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
RJU7XX8AZ,2011,Fall,TRN,2014,Spring,LIB,Liberal Arts,A/ST,Asian Studies
X52BPMP4P,2011,Fall,TRN,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
26HT46QS2,2014,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
9GRHMES09,2014,Fall,TRN,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
3Z1CCYP0V,2014,Fall,FYS,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
XEQY230YA,2020,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
0XG29VZCY,2015,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
GSUXUIU8M,2017,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
EV1BP8MG4,2020,Spring,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
5V3ZD4TNU,2014,Fall,TRN,2016,Fall,LIB,Liberal Arts,A/ST,Asian Studies
2PDNFFIDA,2014,Fall,TRN,2016,Fall,LIB,Liberal Arts,A/ST,Asian Studies
2Z417UIR3,2013,Fall,FYS,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
KD07IS4F0,2013,Fall,FYS,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
VIEIXVHXT,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
EN3ORW0ID,2012,Fall,TRN,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
PJVGSFWAK,2012,Fall,TRN,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
LJK2ZLFQ5,2017,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
X2INBDTYI,2011,Fall,FYS,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
H3NMZ7357,2018,Fall,TRN,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
9LVD7FD59,2019,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
OB9ZFOW98,2019,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
1SDLB2KGL,2010,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
AABRAZHSX,2010,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
BUQ8HDGY8,2014,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
9J31P9IEU,2015,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
2AZEVE18Y,2015,Fall,TRN,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
0UCFAJOI6,2013,Fall,FYS,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
EIWIXH8JX,2014,Fall,FYS,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
SJHAQQ68D,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
9BSD8EPH8,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
Q87DHPQVT,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
3V5QXURQ2,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
WF70YIYF3,2019,Spring,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
KJL2HTX6A,2018,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
A64TG2ZKC,2013,Fall,TRN,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
ICVLFH6HP,2011,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
B27V8DSF8,2012,Fall,FYS,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
XX7EU06LR,2014,Fall,FYS,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
53CEL59L0,2017,Fall,TRN,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
7OA73K61G,2017,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
I78DYWXR2,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
E5WRHL7XQ,2018,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
J61L40QYK,2014,Fall,TRN,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
95A7A31DF,2013,Fall,FYS,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
07TZPQR1J,2011,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
VDU0ZPPBO,2011,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
SCH1JWNJY,2014,Fall,TRN,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
V45PJTTX8,2016,Fall,TRN,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
7R8L6Z5JP,2017,Spring,TRN,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
SRIT9703K,2015,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
OFKZEOGOI,2018,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
8XCMM7GYV,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
4H49GIJI5,2012,Fall,FYS,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
R3VD0N9D3,2012,Spring,TRN,2013,Fall,LIB,Liberal Arts,A/ST,Asian Studies
PKNKON5K1,2015,Fall,TRN,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
8JS056MX4,2014,Fall,FYS,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
7H2EFN9X3,2014,Fall,FYS,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
5IZ0WB7O3,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
N8JG4DSTH,2013,Fall,FYS,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
NNIWWOKDA,2018,Fall,TRN,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
YNB12AV31,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
N4CFIVUP8,2011,Spring,FYS,2015,Fall,LIB,Liberal Arts,A/ST,Asian Studies
P86WXMAZ5,2012,Fall,TRN,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
IK6X0CPAB,2013,Spring,FYS,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
U1PQ7IPTP,2013,Fall,FYS,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
B2S9L650K,2014,Fall,FYS,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
MJXQ4XVY1,2017,Fall,TRN,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
JV643HGW5,2016,Fall,FYS,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
MY6CTZMWQ,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
S7JN7U69C,2017,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
9GVDHZMV6,2018,Fall,TRN,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
LBD68KNQ6,2019,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
N7T81N5FB,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
RBVHM3C6O,2011,Spring,TRN,2013,Spring,LIB,Liberal Arts,A/ST,Asian Studies
25LPRFKEE,2014,Fall,FYS,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
PLX3W0BJD,2010,Fall,TRN,2012,Fall,LIB,Liberal Arts,A/ST,Asian Studies
SX8N3Q034,2014,Fall,FYS,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
WRVR4DU5P,2017,Spring,TRN,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
245K56F1E,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
ORH89B5ZT,2018,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
EHU4RC2EW,2019,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
23E003XU5,2014,Fall,TRN,2016,Spring,LIB,Liberal Arts,A/ST,Asian Studies
82IDZRM8D,2011,Spring,FYS,2016,Fall,LIB,Liberal Arts,A/ST,Asian Studies
3FUQZN6TK,2012,Fall,TRN,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
UZEV3MTAW,2012,Fall,TRN,2016,Spring,LIB,Liberal Arts,A/ST,Asian Studies
IFMNK1CRL,2016,Fall,TRN,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
ZBQ0I1Q3B,2014,Fall,FYS,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
N6ATOZYH4,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
N6ATOZYH4,2018,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
EDKVIS510,2011,Fall,FYS,2015,Fall,LIB,Liberal Arts,A/ST,Asian Studies
WWMDNTR8K,2012,Fall,TRN,2016,Spring,LIB,Liberal Arts,A/ST,Asian Studies
R3MKCIIVH,2016,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
4C8DXIRM5,2014,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
4C8DXIRM5,2014,Fall,TRN,2016,Fall,LIB,Liberal Arts,PSY,Psychology
VD80FK8X1,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
PXSOVTF06,2010,Fall,FYS,2014,Spring,LIB,Liberal Arts,A/ST,Asian Studies
52X9ZEAZH,2011,Spring,FYS,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
LDHD3RTTX,2015,Fall,FYS,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
Z02NMPC8X,2012,Fall,FYS,2015,Fall,LIB,Liberal Arts,A/ST,Asian Studies
MN33NBT3A,2010,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
T8410P41X,2019,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
BMUK1BM8R,2017,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
OPTDHNDSP,2016,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
