FYS Cohorts,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Fall 2010,100,97.426573,88.55944056,85.98601399,82.51748252,80.1958042,78.93706294,76.53146853,62.01398601,49.25874126,24.64335664,13.98601399,6.909090909,4.755244755,2.601398601,1.65034965,0.783216783,0.503496503,0.391608392,0.475524476,0.363636364,0.335664336,0.13986014,0.13986014,0.083916084,0.083916084
Fall 2011,100,97.250764,87.17023049,84.44876423,82.28269925,79.86670369,77.7839489,75.42349347,60.42765898,47.59788948,24.27103582,13.71841155,6.442654818,3.998889197,2.110524854,1.332963066,0.971952235,0.722021661,0.583171341,0.388780894,0.222160511,0.083310192,0.111080255,0.166620383,NaN,NaN
Fall 2012,100,97.51938,88.24289406,85.86563307,81.08527132,78.24289406,76.22739018,74.41860465,58.78552972,44.31524548,18.4496124,10.20671835,4.470284238,2.713178295,1.395348837,0.956072351,0.826873385,0.568475452,0.310077519,0.335917313,0.258397933,0.258397933,NaN,NaN,NaN,NaN
Fall 2013,100,97.748785,89.63929394,86.72294705,82.65541059,80.66001535,78.97160399,75.92734715,52.59657201,34.84267076,12.56075723,6.190841647,2.941928882,1.662829368,1.048861601,0.844205679,0.613967767,0.434893835,0.358147864,0.332565874,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2014,100,97.528958,89.54954955,86.56370656,83.01158301,80.51480051,78.45559846,76.16473616,48.82882883,30.09009009,11.94337194,6.306306306,3.526383526,2.342342342,1.544401544,1.158301158,0.823680824,0.720720721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2015,100,97.583231,89.71639951,87.29963009,82.83600493,79.70406905,78.17509248,74.77188656,44.43896424,25.84463625,10.35758323,5.252774353,2.885326757,1.775585697,1.233045623,0.813810111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2016,100,97.130934,88.2629108,84.87219614,80.59467919,77.90818988,75.45644236,70.73552426,38.2629108,22.69170579,9.181011998,4.929577465,2.816901408,2.243088159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2017,100,96.815974,86.96708041,82.02914193,76.60550459,74.60874258,71.5866163,67.26929304,34.94333513,20.18348624,8.094981112,5.558553697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2018,100,95.96028,86.79756263,82.12593094,78.01850598,75.671406,73.09862334,67.09546378,34.57458813,21.23674114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2019,100,96.044954,88.56710612,83.3153231,77.93386644,75.62135293,72.59563432,67.9706073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2020,100,94.446963,86.44605621,81.59564823,76.0199456,74.1387126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2021,100,94.649739,84.90138291,82.02221718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2022,100,95.673774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
