SID,COHORT,RACE_ETHNICITY,GENDER,FIRST_GEN_STATUS,HS_GPA,HS_MATH_GPA,HS_ENGL_GPA,COLLEGE,UNITS_ATTEMPTED_1,UNITS_ATTEMPTED_2,UNITS_ATTEMPTED_3,UNITS_ATTEMPTED_4,UNITS_COMPLETED_1,UNITS_COMPLETED_2,UNITS_COMPLETED_3,UNITS_COMPLETED_4,DFW_UNITS_1,DFW_UNITS_2,DFW_UNITS_3,DFW_UNITS_4,GPA_1,GPA_2,GPA_3,GPA_4,CUM_GPA_1,CUM_GPA_2,CUM_GPA_3,CUM_GPA_4,SEM_1_STATUS,SEM_2_STATUS,SEM_3_STATUS,SEM_4_STATUS,SEM_5_STATUS,SEM_6_STATUS,SEM_7_STATUS,SEM_8_STATUS
JHPSY555D,Fall 2023,Hispanic/Latino,Female,Unknown,3.83,3.97,4.09,Business,12.0,,,,6.0,,,,6.0,,,,1.6666666666666667,,,,1.6666666666666667,,,,NR,NR,NR,NR,NR,NR,NR,NR
9KC4NM2YV,Fall 2023,Hispanic/Latino,Male,First Generation,3.72,3.67,3.77,Arts,15.0,12.0,,,6.0,0.0,,,9.0,12.0,,,2.0,0.0,,,2.0,0.8571428571428571,,,C,NR,NR,NR,NR,NR,NR,NR
33M8O2J01,Fall 2023,Hispanic/Latino,Male,First Generation,2.97,2.78,3.19,University Programs,13.0,,,,10.0,,,,3.0,,,,2.0,,,,2.0,,,,NR,NR,NR,NR,NR,NR,NR,NR
AMX4WP4A0,Fall 2023,Hispanic/Latino,Female,Continuing Generation,4.0,4.02,4.15,Science,13.0,15.0,,,13.0,11.0,,,0.0,4.0,,,2.6153846153846154,2.2666666666666666,,,2.6153846153846154,2.4285714285714284,,,C,C,NR,NR,NR,NR,NR,NR
R32ET2VTA,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.33,3.08,3.58,University Programs,6.0,6.0,,,3.0,3.0,,,3.0,3.0,,,1.0,1.5,,,1.0,1.25,,,C,NR,NR,NR,NR,NR,NR,NR
QOFNRQ8NZ,Fall 2023,Hispanic/Latino,Male,First Generation,3.64,3.3,3.58,Science,15.0,14.0,,,15.0,14.0,,,0.0,0.0,,,3.8,3.7142857142857144,,,3.8,3.7586206896551726,,,C,C,NR,NR,NR,NR,NR,NR
QMEQZL3IW,Fall 2023,White,Male,Continuing Generation,3.71,3.29,3.78,Science,13.0,14.0,,,13.0,14.0,,,0.0,0.0,,,2.6153846153846154,2.2142857142857144,,,2.6153846153846154,2.4074074074074074,,,C,C,NR,NR,NR,NR,NR,NR
WOYKOS9QY,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.3,3.37,3.31,Engineering,10.0,15.0,,,10.0,15.0,,,0.0,0.0,,,3.6666666666666665,2.6666666666666665,,,3.6666666666666665,3.0416666666666665,,,C,C,NR,NR,NR,NR,NR,NR
2CH06UKI3,Fall 2023,Hispanic/Latino,Female,Continuing Generation,3.29,3.5,3.54,Health,13.0,14.0,,,13.0,14.0,,,0.0,0.0,,,3.4615384615384617,3.5384615384615383,,,3.4615384615384617,3.5,,,C,C,NR,NR,NR,NR,NR,NR
6XLN5Q5P3,Fall 2023,Hispanic/Latino,Male,First Generation,4.0,3.86,4.26,Health,14.0,13.0,,,14.0,13.0,,,0.0,0.0,,,3.357142857142857,3.6923076923076925,,,3.357142857142857,3.5185185185185186,,,C,C,NR,NR,NR,NR,NR,NR
