SID,COHORT,RACE_ETHNICITY,GENDER,FIRST_GEN_STATUS,HS_GPA,HS_MATH_GPA,HS_ENGL_GPA,COLLEGE,UNITS_ATTEMPTED_1,UNITS_ATTEMPTED_2,UNITS_ATTEMPTED_3,UNITS_ATTEMPTED_4,UNITS_COMPLETED_1,UNITS_COMPLETED_2,UNITS_COMPLETED_3,UNITS_COMPLETED_4,DFW_UNITS_1,DFW_UNITS_2,DFW_UNITS_3,DFW_UNITS_4,GPA_1,GPA_2,GPA_3,GPA_4,CUM_GPA_1,CUM_GPA_2,CUM_GPA_3,CUM_GPA_4,SEM_1_STATUS,SEM_2_STATUS,SEM_3_STATUS,SEM_4_STATUS,SEM_5_STATUS,SEM_6_STATUS,SEM_7_STATUS,SEM_8_STATUS,DFW_RATE_1,FIRST_GEN_INDICATOR
JHPSY555D,Fall 2023,Hispanic/Latino,Female,Unknown,3.83,3.97,4.09,Business,12.0,NaN,NaN,NaN,6.0,NaN,NaN,NaN,6.0,NaN,NaN,NaN,1.6666666666666667,NaN,NaN,NaN,1.6666666666666667,NaN,NaN,NaN,NR,NR,NR,NR,NR,NR,NR,NR,0.5,0
9KC4NM2YV,Fall 2023,Hispanic/Latino,Male,First Generation,3.72,3.67,3.77,Arts,15.0,12.0,NaN,NaN,6.0,0.0,NaN,NaN,9.0,12.0,NaN,NaN,2.0,0.0,NaN,NaN,2.0,0.8571428571428571,NaN,NaN,C,NR,NR,NR,NR,NR,NR,NR,0.6,1
33M8O2J01,Fall 2023,Hispanic/Latino,Male,First Generation,2.97,2.78,3.19,University Programs,13.0,NaN,NaN,NaN,10.0,NaN,NaN,NaN,3.0,NaN,NaN,NaN,2.0,NaN,NaN,NaN,2.0,NaN,NaN,NaN,NR,NR,NR,NR,NR,NR,NR,NR,0.23076923076923078,1
AMX4WP4A0,Fall 2023,Hispanic/Latino,Female,Continuing Generation,4.0,4.02,4.15,Science,13.0,15.0,NaN,NaN,13.0,11.0,NaN,NaN,0.0,4.0,NaN,NaN,2.6153846153846154,2.2666666666666666,NaN,NaN,2.6153846153846154,2.4285714285714284,NaN,NaN,C,C,NR,NR,NR,NR,NR,NR,0.0,0
R32ET2VTA,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.33,3.08,3.58,University Programs,6.0,6.0,NaN,NaN,3.0,3.0,NaN,NaN,3.0,3.0,NaN,NaN,1.0,1.5,NaN,NaN,1.0,1.25,NaN,NaN,C,NR,NR,NR,NR,NR,NR,NR,0.5,0
QOFNRQ8NZ,Fall 2023,Hispanic/Latino,Male,First Generation,3.64,3.3,3.58,Science,15.0,14.0,NaN,NaN,15.0,14.0,NaN,NaN,0.0,0.0,NaN,NaN,3.8,3.7142857142857135,NaN,NaN,3.8,3.7586206896551726,NaN,NaN,C,C,NR,NR,NR,NR,NR,NR,0.0,1
QMEQZL3IW,Fall 2023,White,Male,Continuing Generation,3.71,3.29,3.78,Science,13.0,14.0,NaN,NaN,13.0,14.0,NaN,NaN,0.0,0.0,NaN,NaN,2.6153846153846154,2.2142857142857144,NaN,NaN,2.6153846153846154,2.4074074074074074,NaN,NaN,C,C,NR,NR,NR,NR,NR,NR,0.0,0
WOYKOS9QY,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.3,3.37,3.31,Engineering,10.0,15.0,NaN,NaN,10.0,15.0,NaN,NaN,0.0,0.0,NaN,NaN,3.6666666666666665,2.6666666666666665,NaN,NaN,3.6666666666666665,3.0416666666666665,NaN,NaN,C,C,NR,NR,NR,NR,NR,NR,0.0,0
2CH06UKI3,Fall 2023,Hispanic/Latino,Female,Continuing Generation,3.29,3.5,3.54,Health,13.0,14.0,NaN,NaN,13.0,14.0,NaN,NaN,0.0,0.0,NaN,NaN,3.4615384615384617,3.5384615384615383,NaN,NaN,3.4615384615384617,3.5,NaN,NaN,C,C,NR,NR,NR,NR,NR,NR,0.0,0
6XLN5Q5P3,Fall 2023,Hispanic/Latino,Male,First Generation,4.0,3.86,4.26,Health,14.0,13.0,NaN,NaN,14.0,13.0,NaN,NaN,0.0,0.0,NaN,NaN,3.357142857142857,3.692307692307693,NaN,NaN,3.357142857142857,3.5185185185185186,NaN,NaN,C,C,NR,NR,NR,NR,NR,NR,0.0,1
R9H4IWLOQ,Fall 2023,Hispanic/Latino,Female,First Generation,3.63,3.73,3.95,Health,12.0,11.0,NaN,NaN,12.0,11.0,NaN,NaN,0.0,0.0,NaN,NaN,2.75,2.272727272727273,NaN,NaN,2.75,2.5217391304347827,NaN,NaN,C,C,NR,NR,NR,NR,NR,NR,0.0,1
6I4UHXPPI,Fall 2023,Hispanic/Latino,Female,Continuing Generation,3.94,3.98,4.2,Health,12.0,12.0,NaN,NaN,9.0,4.0,NaN,NaN,3.0,8.0,NaN,NaN,3.333333333333333,1.0833333333333333,NaN,NaN,3.333333333333333,2.0476190476190474,NaN,NaN,C,NR,NR,NR,NR,NR,NR,NR,0.25,0
XNNVC8K41,Fall 2023,Hispanic/Latino,Female,Continuing Generation,3.85,3.97,3.99,Liberal Arts,16.0,13.0,NaN,NaN,16.0,7.0,NaN,NaN,0.0,6.0,NaN,NaN,3.25,2.0,NaN,NaN,3.25,2.769230769230769,NaN,NaN,C,C,NR,NR,NR,NR,NR,NR,0.0,0
1WLL7L81W,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.5,3.76,3.39,Science,12.0,16.0,NaN,NaN,12.0,16.0,NaN,NaN,0.0,0.0,NaN,NaN,4.0,3.5,NaN,NaN,4.0,3.7142857142857135,NaN,NaN,C,C,NR,NR,NR,NR,NR,NR,0.0,0
