HS_ENGL_GPA,HS_MATH_GPA,GPA_1,UNITS_ATTEMPTED_1,DFW_RATE_1,UNITS_ATTEMPTED_2,GPA_2,DFW_RATE_2,RACE_ETHNICITY,GENDER,FIRST_GEN_STATUS
3.88,3.72,3.8,15.0,0.0,15.0,3.2,0.0,White,Female,Continuing Generation
3.9,3.57,3.4,15.0,0.0,12.0,4.0,0.0,Hispanic/Latino,Male,Continuing Generation
3.39,2.89,2.625,17.0,0.1764705882352941,14.0,3.4545454545454546,0.2142857142857142,Asian,Male,Continuing Generation
3.93,3.63,4.0,16.0,0.0,16.0,2.9375,0.0,Hispanic/Latino,Female,Continuing Generation
3.84,4.26,4.0,13.0,0.0,14.0,2.5,0.0,Visa Non-U.S.,Female,Unknown
3.14,2.99,2.5,15.0,0.2,15.0,3.4,0.0,Hispanic/Latino,Male,First Generation
3.28,3.03,2.769230769230769,15.0,0.0666666666666666,18.0,0.0,1.0,Hispanic/Latino,Male,First Generation
4.11,3.77,3.0,15.0,0.2,10.0,4.0,0.4,White,Female,Continuing Generation
4.01,3.77,3.7,14.0,0.0,12.0,2.5,0.0,Hispanic/Latino,Female,Continuing Generation
3.57,3.67,2.0,13.0,0.2307692307692307,16.0,1.8461538461538465,0.4375,White,Male,Continuing Generation
3.47,3.23,1.5454545454545454,14.0,0.4285714285714285,16.0,2.8125,0.0,Asian,Male,Continuing Generation
3.88,3.72,3.142857142857143,12.0,0.0,15.0,2.6666666666666665,0.4,Hispanic/Latino,Female,Continuing Generation
4.34,3.87,3.75,12.0,0.0,13.0,3.5384615384615383,0.0,Hispanic/Latino,Male,Continuing Generation
3.94,3.23,1.8,15.0,0.2,15.0,0.75,0.8,Hispanic/Latino,Male,First Generation
3.06,2.91,0.0,13.0,1.0,13.0,0.0,1.0,Hispanic/Latino,Female,Continuing Generation
4.32,3.88,3.5384615384615383,14.0,0.0,13.0,2.6923076923076925,0.0,Hispanic/Latino,Male,First Generation
