HS_ENGL_GPA,HS_MATH_GPA,GPA_1,UNITS_ATTEMPTED_1,DFW_RATE_1,UNITS_ATTEMPTED_2,GPA_2,DFW_RATE_2,RACE_ETHNICITY,GENDER,FIRST_GEN_STATUS
2.77,2.43,1.5,16.0,0.5625,13.0,2.5,0.5384615384615384,Hispanic/Latino,Female,Continuing Generation
4.13,3.94,2.923076923076923,13.0,0.0,12.0,2.1666666666666665,0.3333333333333333,Hispanic/Latino,Female,Continuing Generation
3.84,3.83,0.6666666666666666,9.0,0.6666666666666666,12.0,2.6666666666666665,0.25,Hispanic/Latino,Female,First Generation
4.22,3.91,2.230769230769231,13.0,0.0,12.0,2.833333333333333,0.0,Asian,Male,Continuing Generation
3.44,3.02,1.3,13.0,0.6923076923076923,17.0,0.75,0.8823529411764706,Hispanic/Latino,Male,First Generation
3.86,3.25,1.4615384615384617,14.0,0.5,12.0,2.083333333333333,0.3333333333333333,Hispanic/Latino,Male,First Generation
3.88,3.39,1.7142857142857142,14.0,0.2857142857142857,11.0,1.2727272727272727,0.6363636363636364,Asian,Male,First Generation
3.63,2.97,2.2,16.0,0.25,16.0,3.0,0.0,Hispanic/Latino,Male,Continuing Generation
3.61,3.52,2.5,13.0,0.0,14.0,2.0,0.0,Hispanic/Latino,Male,Continuing Generation
3.36,3.26,3.0,16.0,0.0,15.0,0.0,1.0,Hispanic/Latino,Male,Continuing Generation
