SID,COHORT,RACE_ETHNICITY,GENDER,FIRST_GEN_STATUS,HS_MATH_GPA,HS_ENGL_GPA,COLLEGE,UNITS_ATTEMPTED_1,UNITS_ATTEMPTED_2,UNITS_COMPLETED_1,UNITS_COMPLETED_2,GPA_1,GPA_2,SEM_1_STATUS
JHPSY555D,Fall 2023,Hispanic/Latino,Female,Unknown,3.97,4.09,Business,12.0,,6.0,,1.6666666666666667,,NR
9KC4NM2YV,Fall 2023,Hispanic/Latino,Male,First Generation,3.67,3.77,Arts,15.0,12.0,6.0,0.0,2.0,0.0,C
33M8O2J01,Fall 2023,Hispanic/Latino,Male,First Generation,2.78,3.19,University Programs,13.0,,10.0,,2.0,,NR
AMX4WP4A0,Fall 2023,Hispanic/Latino,Female,Continuing Generation,4.02,4.15,Science,13.0,15.0,13.0,11.0,2.6153846153846154,2.2666666666666666,C
R32ET2VTA,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.08,3.58,University Programs,6.0,6.0,3.0,3.0,1.0,1.5,C
QOFNRQ8NZ,Fall 2023,Hispanic/Latino,Male,First Generation,3.3,3.58,Science,15.0,14.0,15.0,14.0,3.8,3.7142857142857135,C
QMEQZL3IW,Fall 2023,White,Male,Continuing Generation,3.29,3.78,Science,13.0,14.0,13.0,14.0,2.6153846153846154,2.2142857142857144,C
WOYKOS9QY,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.37,3.31,Engineering,10.0,15.0,10.0,15.0,3.6666666666666665,2.6666666666666665,C
2CH06UKI3,Fall 2023,Hispanic/Latino,Female,Continuing Generation,3.5,3.54,Health,13.0,14.0,13.0,14.0,3.4615384615384617,3.5384615384615383,C
6XLN5Q5P3,Fall 2023,Hispanic/Latino,Male,First Generation,3.86,4.26,Health,14.0,13.0,14.0,13.0,3.357142857142857,3.692307692307693,C
R9H4IWLOQ,Fall 2023,Hispanic/Latino,Female,First Generation,3.73,3.95,Health,12.0,11.0,12.0,11.0,2.75,2.272727272727273,C
6I4UHXPPI,Fall 2023,Hispanic/Latino,Female,Continuing Generation,3.98,4.2,Health,12.0,12.0,9.0,4.0,3.333333333333333,1.0833333333333333,C
XNNVC8K41,Fall 2023,Hispanic/Latino,Female,Continuing Generation,3.97,3.99,Liberal Arts,16.0,13.0,16.0,7.0,3.25,2.0,C
1WLL7L81W,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.76,3.39,Science,12.0,16.0,12.0,16.0,4.0,3.5,C
4L985ON0I,Fall 2023,Two or More Races,Male,Continuing Generation,4.05,3.96,Engineering,15.0,17.0,15.0,15.0,3.466666666666667,3.8,C
VHQWQRJH4,Fall 2023,Hispanic/Latino,Male,Continuing Generation,4.03,3.93,Liberal Arts,15.0,16.0,15.0,16.0,3.8,3.625,C
JHYRRMK8B,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.26,3.75,Health,14.0,15.0,11.0,6.0,2.7142857142857144,2.0,C
9DEH02XFJ,Fall 2023,Other,Male,Continuing Generation,3.86,4.1,Engineering,14.0,14.0,14.0,14.0,4.0,4.0,C
IRQVYYO3P,Fall 2023,Hispanic/Latino,Female,First Generation,3.71,3.48,Business,12.0,12.0,6.0,3.0,1.6666666666666667,1.5,C
9CZRN1ZVW,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.7,3.97,Engineering,12.0,14.0,12.0,14.0,4.0,4.0,C
YPS2ATBOQ,Fall 2023,Asian,Male,Continuing Generation,3.54,3.83,Arts,13.0,12.0,4.0,9.0,1.5,3.6666666666666665,C
7TBQMVOP7,Fall 2023,Two or More Races,Female,First Generation,3.16,3.3,Liberal Arts,13.0,16.0,10.0,12.0,1.5,2.75,C
77XRDYORT,Fall 2023,Asian,Female,First Generation,3.2,3.81,Health,13.0,13.0,13.0,7.0,4.0,2.3846153846153846,C
N8BY4CJKX,Fall 2023,White,Female,Continuing Generation,3.98,4.12,Liberal Arts,14.0,13.0,14.0,13.0,4.0,3.3076923076923075,C
QWFKF1RMR,Fall 2023,Hispanic/Latino,Male,Unknown,3.37,3.65,University Programs,9.0,12.0,6.0,0.0,2.0,,C
QPT2N8JWT,Fall 2023,Hispanic/Latino,Female,First Generation,4.19,4.16,Business,12.0,12.0,12.0,12.0,3.25,3.0,C
