Unnamed: 0,SID,COHORT,RACE_ETHNICITY,GENDER,FIRST_GEN_STATUS,HS_GPA,HS_MATH_GPA,HS_ENGL_GPA,COLLEGE,UNITS_ATTEMPTED_1,UNITS_ATTEMPTED_2,UNITS_ATTEMPTED_3,UNITS_ATTEMPTED_4,UNITS_COMPLETED_1,UNITS_COMPLETED_2,UNITS_COMPLETED_3,UNITS_COMPLETED_4,DFW_UNITS_1,DFW_UNITS_2,DFW_UNITS_3,DFW_UNITS_4,GPA_1,GPA_2,GPA_3,GPA_4,CUM_GPA_1,CUM_GPA_2,CUM_GPA_3,CUM_GPA_4,SEM_1_STATUS,SEM_2_STATUS,SEM_3_STATUS,SEM_4_STATUS,SEM_5_STATUS,SEM_6_STATUS,SEM_7_STATUS,SEM_8_STATUS
757,313OF556V,Fall 2018,Hispanic,Female,First Generation,3.420000076,3.0,2.88,University Programs,12.0,13.0,15.0,12.0,12.0,10.0,15.0,12.0,0.0,3.0,0.0,0.0,2.5,1.8461538461538465,3.8,3.75,2.5,2.16,2.775,3.0,C,C,C,C,C,C,C,C
9905,8X3CH5VG3,Fall 2018,Black or African American,Male,Continuing Generation,3.299999952,3.25,3.0,Business,12.0,13.0,9.0,12.0,6.0,13.0,0.0,0.0,9.0,0.0,12.0,16.0,1.75,2.769230769230769,0.0,0.0,1.75,2.28,1.6764705882352942,1.2391304347826086,C,C,C,C,C,C,NR,NR
33922,8J0AIA476,Fall 2018,Hispanic,Female,First Generation,3.269999981,2.17,3.0,University Programs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,C,NR,NR,NR,NR,NR,NR,NR
22175,HBU0KP265,Fall 2018,Asian,Female,Continuing Generation,3.390000105,2.9,3.5,Business,13.0,15.0,14.0,13.0,13.0,15.0,14.0,13.0,0.0,0.0,0.0,0.0,3.5384615384615383,3.6,3.7142857142857135,3.5384615384615383,3.5384615384615383,3.571428571428572,3.619047619047619,3.6,C,C,C,C,C,C,GD,GD
44236,JM1RAPZX2,Fall 2018,Hispanic,Male,Continuing Generation,3.220000029,3.0,3.4,Business,16.0,15.0,15.0,12.0,16.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,3.8125,3.8,3.8,4.0,3.8125,3.806451612903226,3.804347826086957,3.844827586206896,C,C,C,C,NR,C,GD,GD
14044,NQMK2IONR,Fall 2018,Hispanic,Male,Continuing Generation,NaN,NaN,NaN,Business,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,C,C,NR,NR,NR,NR,NR,NR
23203,EF7QA7FTU,Fall 2018,Hispanic,Male,Unknown,3.5,2.8,3.0,Business,12.0,9.0,12.0,13.0,8.0,9.0,12.0,10.0,4.0,4.0,0.0,3.0,3.0,3.6666666666666665,3.5,2.4615384615384617,3.0,3.2857142857142856,3.363636363636364,3.108695652173913,C,C,C,C,NR,C,C,NR
47299,JVQTYEJ5J,Fall 2018,Hispanic,Female,Continuing Generation,3.700000048,3.8,4.0,Education,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NR,NR,NR,NR,NR,NR,NR,NR
17835,FJ2US96MU,Fall 2018,Hispanic,Female,First Generation,4.289999962,4.0,4.17,Science,8.0,15.0,12.0,14.0,8.0,15.0,12.0,14.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.357142857142857,4.0,4.0,4.0,3.816326530612245,C,C,C,C,C,C,C,C
33481,2CCUXEJXG,Fall 2018,Asian,Female,Continuing Generation,NaN,NaN,NaN,University Programs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NR,NR,NR,NR,NR,NR,NR,NR
